20150506  13073226   23.7170   114.7040      2.000   0.3    0.00    0.00   0.00        101
20150506  22393252   23.7520   114.6310      2.000   0.1    0.00    0.00   0.00        102
20150506  22542964   23.7520   114.6250      2.000   0.8    0.00    0.00   0.00        103
20150507       382   23.9130   114.4550      2.000   0.7    0.00    0.00   0.00        104
20150507   6492119   23.7550   114.6260      2.000   0.0    0.00    0.00   0.00        105
20150507   9151606   23.7210   114.6290      2.000   0.9    0.00    0.00   0.00        106
20150507   9242346   23.7110   114.6870      2.000   0.2    0.00    0.00   0.00        107
20150507   9492869   23.7210   114.6290      2.000   0.5    0.00    0.00   0.00        108
20150507  10244351   23.7550   114.6280      2.000   1.0    0.00    0.00   0.00        109
20150507  10253298   23.7180   114.6270      2.000   0.1    0.00    0.00   0.00        110
20150507  10265898   23.7540   114.6240      2.000   0.2    0.00    0.00   0.00        111
20150507  10343540   23.7530   114.6260      2.000   0.2    0.00    0.00   0.00        112
20150507  10594300   23.7540   114.6250      2.000   0.1    0.00    0.00   0.00        113
20150507  11194080   23.7550   114.6240      2.000   0.8    0.00    0.00   0.00        114
20150507  13133037   23.7540   114.6260      2.000   0.9    0.00    0.00   0.00        115
20150507  17122474   23.9170   114.4790      2.000   0.6    0.00    0.00   0.00        116
20150507  18001464   23.7510   114.6390      2.000   0.1    0.00    0.00   0.00        117
20150507  18475200   23.6670   114.6600      2.000   1.5    0.00    0.00   0.00        118
20150507  19395430   23.9070   114.4620      2.000   0.4    0.00    0.00   0.00        119
20150507  19400628   23.9110   114.4600      2.000   1.1    0.00    0.00   0.00        120
20150507  19422510   23.9120   114.4620      2.000   0.4    0.00    0.00   0.00        121
20150507  19434322   23.9130   114.4540      2.000   0.6    0.00    0.00   0.00        122
20150507  20171740   23.9110   114.4950      2.000   0.3    0.00    0.00   0.00        123
20150508   2494510   23.7540   114.6260      2.000   0.1    0.00    0.00   0.00        124
20150508   4515601   23.7230   114.6280      2.000   0.3    0.00    0.00   0.00        125
20150508  19114404   23.7530   114.6260      2.000   0.2    0.00    0.00   0.00        126
20150508  19121124   23.7530   114.6270      2.000   0.2    0.00    0.00   0.00        127
20150509   2295608   23.7700   114.6080      2.000   0.1    0.00    0.00   0.00        128
20150509   5012649   23.7530   114.6290      2.000   0.5    0.00    0.00   0.00        129
